text,category,confidence,source
"………….…………….
E. MAINA
JUDGE",court,54.28%,model
"REPUBLIC OF KENYA
IN THE EMPLOYMENT AND LABOUR RELATIONS COURT OF KENYA AT MACHAKOS
CAUSE NO.E006 OF 2022
PATRICK MWONGERA NJIIRI■CLAIMANT 
- VERSUS -
MARS WRIGLEY CONFECTIONERY (K) LIMITED..................................................................RESPONDENT
(Before Hon. Justice Byram Ongaya on Friday 17th November, 2023)
JUDGMENT
The claimant filed the Memorandum of claim on 27.04.2022 through Kyalo Muia & Company Advocates. The claimant prayed for judgment against the respondent for:
A declaration that the claimant’s termination of employment by the respondent was unlawful, unfair and in breach of the provisions of the Employment Act Cap 226, laws of Kenya.
An order be made directing the respondent to pay the claimant all his terminal dues. 
An order be made directing the respondent to pay the claimant damages under the Labour Institutions Act, 2007. 
General damages for wrongful, unlawful and unfair termination of employment.
General damages for loss of expected earnings. 
Costs of the suit and interest. 
Any other or further relief as this Honourable Court may deem fit and just. 
The memorandum of response was filed on 14.07.2022 through Obura Mbeche & Company Advocates. The respondent prayed that the suit be dismissed in its entirety with costs to the respondent. 
The claimant’s case was that he was employed by the respondent as a machine operator from 09.01.2017 up to 15.03.2022 when his services were unlawfully terminated by the respondent. 
The claimant states that at the time of the termination of his employment, he was earning a basic salary of Kshs.106,542/=. 
The claimant states that during his employment with the respondent, a period of five years, he was a diligent and committed employee and never received a warning letter.",court,53.52%,model
"That on the night of 02.03.2022 he was on night shift when an accident occurred past 10:30 pm. That while he was picking glucose from a rack by moving the machine called Walk Behind, the tank tipped sideways to the left hand side and fell to the ground. The claimant states that he reported the incident to his line manager, one Madam Christine, who advised that he takes photographs and sends the same to her. 
The claimant states that with the help of the night shift manager, one Madam Janet, they secured the fallen tank and confirmed that there was no spillage or damage to the same and the glucose was then taken to an area called the Hot box. 
The claimant pleaded that the incident was an accident, and that despite his written explanation, the respondent proceeded to terminate his services. 
On the part of the respondents it is admitted that the claimant was an employee of the respondent, however, it is stated that he earned a monthly basic salary of Kshs 53,271 and a monthly house allowance of Kshs.10,609.63. 
That on 02.03.2022 while on night shift duty, the claimant was involved in a safety incident at the raw material warehouse where he tempered with ideal working conditions before undertaking movement of 1.3T glucose resulting in topping of a pallet of glucose 39 from the walk behind owing to the unsafe working conditions. 
That arising from that incident the claimant was invited to show cause by way of the respondent’s letter dated 07.03.2022 as preliminary investigations had revealed that the claimant had intentionally switched off the lights in the area before undertaking the activity. 
That the claimant tendered his written response on 08.03.2022 admitting to switching off the lights in the incident area before undertaking transfer of the glucose which action was in breach of the established respondent’s incorporated, level 2, SES: SES Guideline. 
That as a consequence the claimant was issued with a letter dated 08.03.2022 inviting him to a disciplinary hearing which was held on 09.03.2022, where he was accorded an opportunity to be heard.",court,51.01%,model
"That thereafter his employment was terminated effective 15.03.2022. with the responded computing and paying his terminal dues at the sum of Kshs.378,229.33. 
That at the time of termination the claimant had an ongoing bank loan of Kshs.534,793.70 and the respondent deducted the monthly payment of Kshs.28,828. 
The respondent maintains that the claimant’s termination was lawful, procedural and for justifiable reason. 
The parties filed their respective submissions. The Court has considered the parties’ respective cases and makes finding as follows.
To answer the 1st issue, the Court returns that the parties were in a contract of service.
To answer the 2nd issue, the Court returns that the contract of service was terminated by the letter dated 15.03.2022.",court,52.02%,model
"To answer the 3rd issue, the Court returns that the termination was not unfair both in procedure and substance. In particular, the claimant received the show cause letter, he responded, he attended the disciplinary hearing and the letter of termination followed. Due procedure of a notice and a hearing per section 41 of the Act was accorded to the claimant per section 41 of the Employment Act, 2007. In the letter dated 08.03.2022 the claimant admitted allowing unauthorised persons to access to a restricted area and further, in his testimony, he admitted switching off lights. He is found to have indeed breached the operating standards as was alleged and leading to his dismissal. He confirmed switching off some of the lights in an area of operation but. the operating standards as prescribed, required such an area not to have partial lighting. He confirmed that he had thereby breached the operating standard not to switch off the lights and for the area to be well lit with the light from the lights, some of which he had switched off. After the accident, he admitted in his testimony that his line manager accessed the restricted area but without the prescribed written permission. He also confirmed that prior to the Manager accessing another person known as Richard had also accessed the area in breach of the operating standard as Richard had no written permission or permit. He then testified that it was his obligation to issue access permits but he had not signed and completed the permit form he had initially given to Richard prior to the accident. He dropped prayer for terminal dues as they had been paid. Further, he testified that he had not performed his duties on discussing with his team of five (5) members and signing the risk assessment document per operating standards. The Court finds that the reason for termination was not unfair as envisaged in section 43 of the Act as it related to the claimant’s contact, compatibility and the beach of the respondent’s operational requirements.
The 4th issue is on remedies. No submissions were made for the claimant to specifically justify the remedies as claimed and prayed for. As urged for the respondent, none is justified.
The claimant’s suit has failed and is liable to dismissal with costs.
In conclusion judgement is hereby entered for the respondent against the claimant for dismissal of the suit with costs; and, the Deputy Registrar to cause the court file returned to the Machakos Sub-Registry forthwith.",court,51.13%,model
"Signed, dated and delivered by video-link and in court at Nairobi this Friday 17th November, 2023.
BYRAM ONGAYA
PRINCIPAL JUDGE",court,54.63%,model
"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT NAIROBI
COMMERCIAL AND TAX DIVISION
INCOME TAX APPEAL NO E011 OF 2022
COMMISSIONER OF DOMESTIC TAXES ………………. APPELLANT
VERSUS -
LUCAS WAITHAKA GITERE ……………………………. RESPONDENT
(Being an appeal from the judgment of the Tax Appeals Tribunal dated 3rd December 2021 in Tax Appeals Tribunal Number 341 of 2019)
J U D G M E N T
The appellant carried out an investigation on the affairs of the respondent for the years 2016 and 2017. He noted that the respondent had 34 KPLC meters which, according to the appellant, meant that the respondent had 34 rental houses. 
Based on this information, the appellant raised an assessment of Kshs. 803,311/- which comprised of principal tax of Kshs. 644,248.80 and penalties of Kshs 34,212.44. The respondent objected to the assessment on 24/4/2019 which the appellant rejected vide an objection decision dated 21/6/2019.
Aggrieved by the appellant’s decision, the respondent lodged an appeal at the Tax Appeals Tribunal which allowed the appeal on 3/12/2021.  
Aggrieved that decision, the appellant has lodged this appeal vide a Memorandum of Appeal dated 27/1/2022. The appeal is based on 4 grounds of appeal which can be summarized into two as follows: - 
That the Tribunal erred in holding that the objection decision was issued prematurely without consideration of available information.
That the Tribunal erred in in finding that due process was not followed prior to the objection and setting aside the appellant’s assessment.",court,54.26%,model
"In opposition to the appeal, the respondent filed a statement of facts dated 23/2/2023. He contended that he was a landlord whose sole income emanated from his two properties situate in Nakuru County. That vide a letter dated 3/3/2015, he wrote to the appellant requesting to file his returns on annual basis since he had taken out a loan at Equity bank for Kshs 7,305,695/- with a repayment of Kshs. 241,665/- against a monthly income of Kshs 184,430/-.
That the appellant did not respond to his letter and the respondent therefore assumed that his request had been accepted and continued to submit annual returns. That he filed his annual returns on 25/03/2017 for the year 2016 and on 24/05/2018 for the year 2017 and paid a total of Kshs. 100.509/-. Vide a letter dated 3/3/2015, he wrote to the appellant to avoid paying rental income out of his capital investment.
The appeal was canvassed by way of written submissions which have been considered. The appellant submitted that the respondent failed to declare and charge tax on the annual rental income earned in 2016. That the respondent’s notice of objection was not supported by documents hence failed to discharge the burden of proof to show that the assessment was incorrect.
On whether due process was followed prior to issuance of the objection decision, the appellant submitted that the respondent was given sufficient time to support his objection. It was further submitted that the Tribunal’s decision on this issue was outside the parties’ pleadings since the same had not been raised by the appellant. That section3 and 6 of the Income Tax Act was clear on the fact that all the profits or gains made by the respondent from rent was chargeable to income tax.
The respondent submitted that the appeal was filed outside the 30 days prescribed by law without leave and ought to be struck off. According to the respondent, the appellant’s assessment was based on the assumption that, the respondent owned 34 rental houses and failed to conduct any investigations on the same.",court,54.04%,model
"Counsel submitted that the respondent discharged his burden of proof by providing the information required in line with section 56(1) of the Tax Procedures Act and section 30 of the Tax Appeals Tribunal Act. That the appellant had visited the respondent’s premises and established that some houses with meters remained unoccupied. That the application to file annual returns was not rejected by the appellant.
I have considered the record. The main issue for determination is whether the objection decision was issued prematurely without consideration of the available information.
The appellant’s assessment was based on the fact that, he had conducted an investigation on the respondent and discovered that the latter had to his name 34 KPLC meters. He therefore concluded that the respondent had 34 rentals houses. The assessment was confirmed because the respondent failed to provide relevant documentation to support the objection.
On his part, the respondent contended that the assessment for the years 2016 and 2017 was done using the old format and the same had been communicated to the appellant. That at the objection stage, he had submitted the documents as required under section 59 of the Tax Procedures Act.
Section 24 of the Tax Procedures Act (“the TPA”) provides: -
“Submission of tax returns 
(1)■A person required to submit a tax return under a tax law shall submit the return in the approved form and in the manner prescribed by the Commissioner. 
(2)■The Commissioner shall not be bound by a tax return or information provided by, or on behalf of, a taxpayer and the Commissioner may assess a taxpayer's tax liability using any information available to the Commissioner.”
Based on section 24 of the TPA, the Commissioner has the authority to issue an assessment based on any available information. From the record, there is no evidence of the initial assessment that demanded tax of Kshs. 803,311/- from the respondent. While it is evident that the assessment was based on the information received on the KPLC meters, it is not clear how that figure was arrived at. 
Section 56 of the TPA places the burden of proof in tax cases on the tax payer. The above section is reinforced by section 30 of the Tax Appeals Tribunal Act.",court,53.36%,model
"In the present case, it is evident that in the notice of objection, the tax payer stated that he had paid his taxes and availed the letter dated 3/3/2015 where he had previously informed the appellant of his intention to pay taxes using the previous format. 
No evidence was availed by the appellant requesting for additional information. The record shows that the taxpayer paid taxes for the disputed years and still filed returns for the said years although not in the correct format. In that regard, the burden shifted to the appellant to demonstrate that the material presented to him by the respondent was either wrong or insufficient. Since no further information or document was requested at this stage, the burden rested on the Commissioner to prove the assessment. The pendulum of the burden of proof never swung back to the respondent at all.
Section 51(3) of the TPA gives the format for the notice for objection as follows: -
“(3)■A notice of objection shall be treated as validly lodged by a taxpayer under subsection (2) if—
a)■the notice of objection states precisely the grounds of objection, the amendments required to be made to correct the decision, and the reasons for the amendments;
b)■in relation to an objection to an assessment, the taxpayer has paid the entire amount of tax due under the assessment that is not in dispute or has applied for an extension of time to pay the tax not in dispute under section 33(1); and
c)■ all the relevant documents relating to the objection have been submitted.”
From the forgoing, a notice of objection can only be said to be valid when all the relevant documents have been submitted. Sub section 4 places an obligation on the Commissioner to inform the tax payer in writing that a notice of objection does not meet the required standards.
In the present case, this is not a case of a taxpayer who has refused to pay taxes. It is a case of a willing tax payer who was mistreated by the tax authority. He had the willingness to comply with the law and wrote to the appellant seeking clarification or direction which was never provided.  The appellant was under an obligation to respond to the respondent’s inquiry and advise him whether or not he had approved the letter dated 3/3/2015. This would have informed the respondent the manner in which to pay taxes. In this case, silence should be taken to have been consent.",court,53.53%,model
"Based on the foregoing, I find no error on the Tribunals holding that the objection decision was premature. 
Accordingly, the Court finds the appeal to be without merit and the same is dismissed with costs.
It is so decreed.
DATED and DELIVERED at Nairobi this 20th day of November, 2023.
MABEYA, FCI Arb
JUDGE",court,57.24%,model
"REPUBLIC OF KENYA
HIGH COURT OF KENYA AT ELDORET
SUCCESSION CAUSE NO. 213 OF 2012
IN THE MATTER OF THE ESTATE OF FRANCIS KARISHO NGUTI - DECEASED
SARAH WANJIRU KARISHO.................................................................1ST PETITIONER
MIRIAM MUTHONI KARISHO.............................................................2ND PETITIONER
VERSUS
CECILIA NYAKARURA GICHERU.................................1ST OBJECTOR/APPLICANT
ABDI KARISHO...........................................................................................2ND OBJECTOR 
RULING
The deceased, Francis Karisho Nguti, died on 18/04/2012 at the age of 50 years. 3 months later on 24/07/2012, the Petitioners, describing themselves as widow and daughter, respectively, filed a Petition seeking Letters of Administration intestate over the estate. However on 28/10/2016, the 1st Objector, claiming to be the rightful widow, filed a Cross-Petition and also an Answer opposing the Petitioner’s Application. To my knowledge and from my perusal of the record, no Grant has therefore been issued by the Court to date.
The matter has since then experienced a long and protracted litigation with a massive number of interlocutory Applications and counter-Applications filed for and against, particularly by the 1st Objector. As a result, no meaningful progress has been made in the matter ever since.
Now before the Court is the 1st Objector’s Application brought by way of the Notice of Motion dated 6/7/2022 seeking the following orders:
That the Applicant herein, Cecilia Nyakarura, be appointed as the administrator of the estate of the deceased.
That costs of the application be provided for.
The Application is filed through Messrs Limo R.K & Co. Advocates and is premised on the grounds stated on the face thereof and supported by the Affidavit sworn by the 1st Objector.",court,56.71%,model
"In the Supporting Affidavit, the 1st Objector has deponed that she and the deceased were husband and wife having gotten married under Kikuyu Customary law in 1995, the marriage was blessed with 3 children, namely, Jane Mokami Karisho, Mary Wamere Nguti and Evans Nguti, prior to the marriage the deceased had one child - the 2nd Objector herein, Abdi Karisho, upon demise of the deceased the 1st Petitioner attempted to block his burial on alleged grounds that she was a beneficiary of the deceased, the Court vide the orders dated 3/5/2012 given in Eldoret CMCC No. 323/2012 ordered that the 1st Petitioner’s alleged children with the deceased  do undergo DNA tests to establish their paternity, the 1st Petitioner has however blatantly refused to comply with the said orders and it is now more than 10 years since the orders were issued, the Petitioners are strangers to the estate of the deceased and lack the locus standi to petition for letters of administration, the attempts by the 1st Petitioner to intermeddle with the estate of the deceased’s father were “nipped in the bud” by the Court in Eldoret Succession Cause No. 36 of 2002 vide the orders dated 29/5/2014, the 1st Petitioner has been intermeddling with the estate with the ulterior motive of stealing a match against the legitimate beneficiaries of the deceased and that the 1st Objector has priority in applying for letters of administration.
Petitioners’ Response",court,56.89%,model
"Petitioners’ Response
The Application is opposed by the Petitioners vide the Replying Affidavit sworn by the 1st Petitioner and filed on 26/10/2022 through Messrs Mathai Mwangi & Co. Advocates. In the Affidavit, the 1st Petitioner has deponed that she started courtship with the deceased in the year 1997, they started living together in the year 2000, in the year 2001 the deceased brought to her the children of the 1st Objector, Mary Wamere aged 3 years and Evans Nguti aged 8 months, the 1st Petitioner was even given custody of the said children by a Court order when the 1st Objector abandoned them, the 1st Petitioner stayed with the children until they finished Form Four when their mother (1st Objector) came and picked them at different stages, at the time that the 1st Petitioner got married to the deceased, she already had one child - the 2nd Petitioner - whom the deceased took as his child too, the 1st Petitioner gave birth to their first child with the deceased - Newton Nguti Karisho - on 27/10/2002 and their second child - Lizzieh Wamere Karisho - on 18/3/2010, the law allows up to 4 administrators hence she is entitled to be an administrator,  the 1st Objector does not have superior rights over her in applying for letters of administration since she is her co-wife.
1st Objector’s Supplementary Affidavit",court,55.69%,model
"1st Objector’s Supplementary Affidavit
In opposition, the 1st Objector vide the Supplementary Affidavit filed on 14/11/2022, reiterated that the 1st Petitioner is an imposter and a stranger to the estate, the beneficiaries of the estate are herself, Jane Mokami Karisho, Mary Wamere Nguti, Evans Nguti and Abdi Karisho, she only came to learn of the 1st Petitioner’s allegations of dependency when the 1st Petitioner attempted to stop the burial of the deceased which culminated into institution of the said Eldoret CMCC No. 323 of 2012 wherein the 1st Petitioner’s alleged children with the deceased were ordered to undergo DNA tests,  the Petitioners have however adamantly refused to comply with the orders to date, the 1st Petitioner’s Application seeking shares of monthly rent from the deceased’s father’s estate in Eldoret Succession Cause No. 36 of 2002 was declined vide the Ruling dated 22/01/2021 on grounds that her legitimacy was in issue and therefore she was a stranger to the estate, the 1st Objector challenged the 1st Petitioner to avail proof of her alleged marriage to the deceased, she single-handedly raised her children, the orders of 7/10/2014 issued in Eldoret Children Case No. 339 of 2013 were set aside vide the Ruling dated 7/9/2018 on grounds that they were obtained through misrepresentation and concealment of material facts, the 1st Petitioner continues to waste the estate of the deceased by leasing out part of the property known as LR No. 10018 to third parties who are currently in the process of planting sugarcane in violation of the orders dated 13/03/2014, the Petitioners are perennial intermeddlers who have no regard to the rule of law as demonstrated by the numerous applications for injunctions on record, the Petitioners do not qualify to be Administrators of the deceased since they are not beneficiaries of the deceased and they are unfit to administer the estate due to intermeddling.
Hearing of the Application",court,56.34%,model
"Hearing of the Application
It was then directed, and agreed, that the Application be canvassed by way of written Submissions. Pursuant thereto, the 1st Objector filed her Submissions on 14/11/2022 and the Petitioners filed on 24/11/2022.
I note from the record that the 2nd Objector, Abdi Karisho Nguti, is represented by a separate law firm - Kibet Lemeto & Co. Advocates - who however have not participated in the present Application. 
Regarding the 2nd Petitioner, it is not clear whether she is being represented by the same Advocates representing the 1st Petitioner, Mathai Maina & Co. This is because there is no reference to her whatsoever in the pleadings filed by the law firm.
1st Objector’s Submissions",court,55.24%,model
"1st Objector’s Submissions
Counsel for the 1st Objector submitted that the Petitioners instituted these Succession Cause without the knowledge of the Objectors, the 1st Petitioner is claiming to be the 2nd widow of the deceased and the 2nd Petitioner alleges to be a dependent even though she is not a child of the deceased, the 1st Objector filed cross-Petition for letters of Administration in this matter on 26/10/2016 as the sole widow, prior to the institution of these proceedings the 1st Petitioner had attempted to stop the burial of the deceased on grounds that she had not been recognized, the same culminated in the institution of Eldoret CMCC No. 323 of 2012 wherein the Court ordered the 1st Petitioner’s alleged children with the deceased to undergo DNA tests, the 1st Petitioner and her alleged children however have been unwilling to comply with the orders and are yet to comply more than 10 years later,  according to the Chief’s letter dated 6/06/2022 the beneficiaries of the deceased are as listed in the 1st Objector’s Application, the Petitioners are not beneficiaries of the estate, the 1st Petitioner’s allegations that she was a wife of the deceased is highly contested, unless and until a determination is made by the Court on the 1st Petitioners alleged marriage and legitimacy, her attempts to be appointed as a co-administrator is premature and untenable and that the 1st Objector is the only spouse of the deceased as demonstrated by the proof of payment of dowry made on 2/7/1995, the Objector therefore ranks higher pursuant to Section 66 of the Law of Succession Act and Rule 7 of the Probate & Administration Rules than her children with the deceased including the 2nd Objector who is a son to the deceased.",court,57.46%,model
"Counsel submitted further that the allegations by the 1st Petitioner that she raised and paid school fees for the 1st Petitioner’s children is misleading, by the Ruling dated 7/09/2014 the ex parte orders given in Children Case No. 399 of 2013 were set aside on grounds that the same were obtained through concealment of material facts and misrepresentation, the Petitioner has concocted undated photographs alleging that the photographs belong to the Objector’s children with the motive of misleading the Court, in any event, the 1st Petitioner does not qualify to be an Administrator since she has been intermeddling and wasting the deceased’s estate in contravention of Section 45 of the Law of Succession Act and has even been charged over the same in Eldoret Criminal Case No. 995 of 2017, she has even been restrained from intermeddling with the deceased’s share in Eldoret Succession Cause No. 36 of 2002 vide orders made on 4/06/2014 and that the estate shall be at great risk of anarchy should the 1st Petitioner be appointed an Administrator. Counsel cited the case of Re Estate of Jared Gitau Gichuhi (Deceased) [2021].
1st Petitioner’s Submissions",court,56.96%,model
"1st Petitioner’s Submissions
On whether the 1st Petitioner was a “spouse”, Counsel cited Section 2 of the Marriage Act 2014 and submitted that the 1st Petitioner was a spouse to the deceased because she cohabited with the deceased as husband and wife from the year 2000 and that she bore two children with the deceased, Newton Nguti Karisho and Lizzie Wamere Karisho, the deceased also accepted the 2nd Petitioner as his child, the 1st Petitioner thus qualifies to be appointed as one of the administrators because she is a surviving spouse, the 1st Petitioner took part in the burial of the deceased after obtaining a Court order since the 1st Objector had wanted to stop her from participating in the burial, the 1st Petitioner was recognized as one of the wives, the birth certificates also confirm that the children of the 1st Petitioner took the surname of the deceased. Counsel cited the case of Joseph Gitau Githongo v Victoria Mwihaki [2014] eKLR, Phylis Njoki Karanja & 2 Others v Rosemary Mueni Karanja & Another, Nrb CA Civil Appeal No. 313 of 2001 [2009] eKLR and Hortensiah Wanjiku Yawe v Public Trustee CA Civil Appeal No. 13 of 1976 (UR).
On whether the 1st Objector should be appointed as the sole administrator of the estate, Counsel submitted that the law is clear on who can be appointed as administrators, he cited Section 56(1)(a) and (b) of the Law of Succession Act and submitted that the number of Administrators is capped to a maximum of 4, the 1st Petitioner was a wife of the deceased and hence ought to be involved in the affairs of the estate, the 1st Objector is selfish and greedy and does not want her co-wife to be involved in the affairs of the estate. On the allegations of intermeddling, Counsel submitted that the 1st Objector has not tabled any evidence to support the allegations or that the 1st Petitioner was found guilty or convicted.",court,55.06%,model
"Regarding preference in appointment of Administrators, Counsel submitted that the 1st Petitioner ought to be given preference, she has equal status as the 1st Objector since she was married to the deceased. He cited Section 66 of the Law of Succession Act.
Analysis and Determination
After careful analysis, I find that the issue that arises for determination to be the following:
“Between the 1st Objector and the 1st Petitioner, who should be appointed as the Administrator of the estate of the deceased?”.
The matter of appointment of Administrators is one in which the final discretion lies with the Court. However, Section 66 of the Law of Succession Act gives guidelines on the order of priority to be adopted. It provides as follows: 
“When a deceased has died intestate, the court shall, save as otherwise expressly provided, have a final discretion as to the person or persons to whom a grant of letters of administration shall, in the best interests of all concerned, be made, but shall, without prejudice to that discretion, accept as a general guide the following order of preference-
(a)surviving spouse or spouses, with or without association of other beneficiaries;
(b)other beneficiaries entitled on intestacy, with priority according to their respective beneficial interests as provided by part v;
(c)the public trustee; and
(d)creditors”
From the evidence that has been tendered, the 1st Objector’s status as a widow and the status of her children are not contested by the 1st Petitioner. The 1st Objector’s claim that she has been married to the deceased since the year 1995 under Kikuyu customary law and that together they got 3 children has also not been disputed. She has exhibited a copy of a letter from the Chief listing her as the only wife and confirming her 4 children. By virtue of Section 66 above, her entitlement as an Administrator is therefore clear and well grounded.",court,56.42%,model
"On her part, the 1st Petitioner claims that she was a second wife to the deceased having begun cohabiting with the deceased from the year 2000. She states that she already had one child before she met the deceased and whom the deceased took in as his own. She further claims that she subsequently got two children with the deceased in the year 2002 and 2010, respectively. Although she has exhibited copies of Birth Certificates for the 3 children and which bear the name of the deceased as the father, all these contentions are denied by the Objectors. The result is therefore that the Petitioner’s claims are yet to be proved at this stage. The legitimacy of her alleged marriage to the deceased and the question whether her children have linkage to the deceased are matters that are still under contention awaiting proof. 
The 1st Objector has also made the allegation that prior to the institution of this Cause, the 1st Petitioner had attempted to stop the burial of the deceased on grounds that she had not been recognized, that the 1st Petitioner then instituted Eldoret CMCC No. 323 of 2012, that in that suit the Court ordered that the 1st Petitioner’s children do undergo DNA tests to authenticate their alleged paternity by the deceased. According to the 1st Objector, the order, made 10 years ago, has not been complied with by the 1st Petitioner and her children. A copy of the Order was exhibited. It is not lost on me that the 1st Petitioner has maintained a loud and studious silence over this allegation and has not controverted it.
 
The fact that the Petitioners are yet to comply with the order issued in Eldoret CMCC No. 323 of 2013 on DNA tests and the fact that, at this stage, the Petitioners are also yet to prove their claims over the estate were also well captured in paragraphs 22 and 23 of the said Ruling delivered on 22/01/2021 by H. Omondi J (as she then was), in Eldoret High Court Succession Cause No. 36 of 2002. That Cause deals with the estate of the deceased’s father.",court,57.74%,model
"Be that as it may, the parties have to appreciate that, at this stage, the Court is only dealing with the sole issue of appointment of an Administrator to the estate. It is therefore premature for the Court to address or purport to determine issues on whether the 1st Petitioner was a “wife” to the deceased and whether her children are beneficiaries of the estate. These are issues that shall be canvassed and determined during the trial of this Cause.
I however have to mention that the Petitioners do not come out as candid litigants. I say so because I have perused the Petition for Letters of Administration filed by the Petitioners and observe that in the letter from the Chief, Pioneer location, Eldoret, dated 15/06/2012 that they presented, the Petitioners did not at all make any mention whatsoever of the 1st Objector as a wife or survivor of the deceased and also out of the 1st Objectors four children, the Petitioners only mentioned two and left out the other two. Since clearly the Petitioners were always aware of the existence of the 1st Objector as a wife to the deceased and also her children, and therefore as genuine survivors of the deceased, in the absence of any explanation, I find this conduct by the Petitioners to have been deliberate suppression of material facts and in extension, done in bad faith and calculated to mislead the Court. 
Having analyzed the facts and since the estate cannot be left unadministered pending distribution, the question now is who between the 1st Objector and the 1st Petitioner should be appointed to be the Administrator.
In answering the said question, I have considered that both the 1st Petitioner and the 1st Objector are presently in occupation of respective portions of the estate properties. In the circumstances, one may be inclined to appoint the two as joint Administrators pending distribution. However, considering the level of “bad blood” and hostility that is apparent between the two, appointing them as joint Administrators is likely to only escalate the already heightened acrimony between them and as a result, paralyze operations of the estate.",court,55.44%,model
"In the circumstances, considering that the status of the 1st Objector as a widow is not contested and weighing it against the Petitioners’ conduct of appearing to avoid, defy or ignore the Court order given on 3/05/2012 in Eldoret Chief Magistrates Court Civil Suit No. 323 of 2012 on the taking of samples to conduct DNA tests on her children and also factoring the Petitioners’ inexplicable act of omitting to disclose the 1st Objector and her children as survivors of the deceased, I find that the balance of convenience clearly tilts towards appointing the 1st Objector as the sole Administrator for now.
I must also remind the parties that intermeddling of whatever kind is forbidden under Section 45 of the Law of Succession Act. The parties and all other interested stakeholders are therefore not expected to misuse, waste, place out of reach or part with any portion of the estate in any manner whatsoever until such time that the Grant shall be confirmed by the Court and assets distributed accordingly. They should always be aware that they all are under a statutory obligation to ensure that the estate remains well preserved.
Final Orders 
For the foregoing reasons, I allow the 1st Objector’s Notice of Motion of Motion dated 6/07/2022 in the following terms:
The 1st Objector - Cecilia Nyakarura Gicheru – is hereby appointed the sole Administrator of the estate of the late Francis Karisho Nguti.
A Grant shall now be issued to the 1st Objector, the said Cecilia Nyakarura Gicheru.
This matter shall then be fixed for hearing for purposes of the Petitioners proving their claims against, or their entitlements to the estate herein.
I note that the Court had previously, pending distribution of the estate, issued various orders, including orders restraining intermeddling with the estate and also relating to preservation, occupation, utilization and use of respective estate properties, and also including injunctions in some cases. For avoidance of doubt, such orders shall not be affected by the present orders now given hereinabove and shall continue being in force until further directions by the Court.
Costs shall be in the Cause.
DATED, SIGNED AND DELIVERED AT ELDORET THIS 17TH DAY OF NOVEMBER 2023
………………………..",court,56.63%,model
"………………………..
WANANDA J. R. ANURO
JUDGE",court,53.84%,model
"REPUBLIC OF KENYA
IN THE HIGH COURT OF KENYA AT ELDORET
CIVIL CASE NO. 3 OF 2022
(FORMERLY KITALE ELC CASE NO. 5 OF 2016
AMIT AGGARWAL (suing as administrator of the 
estate of GURCHARAN DASS AGGARWAL)…………………………………PLAINTIFF
VERSUS
NATIONAL BANK OF KENYA LIMITED…………………………………..DEFENDANT
RULING
By the Plaint filed on 14/12/2015, the Plaintiff, suing as the Administrator of the said deceased, filed this suit. The Plaintiff sought, inter alia, Judgment barring the Defendant, a bank, from exercising its statutory power of sale over various properties which had secured financial facilities advanced to the deceased by the Defendant. The Court granted an interlocutory injunction pending determination of the suit. 
From the record, I gather that the suit was initially filed before this Court in 2015, then sometime in 2016 was transferred to the Environment & Land Court at Kitale before being re-transferred in 2022 back to this Court at Eldoret. 
In the course of the matter, the Plaintiff filed the Application dated 21/11/2016 seeking leave to deposit the sum of Kshs 7,658,191.40 as security, in exchange for release of the titles held by the Defendant, pending determination of the suit. The said sum was the amount alleged by the Defendant to be owing, as at that time, from the deceased. The parties then recorded a consent on terms that, pending determination of the Application, the Plaintiff would deposit in an interest earning account in the joint names of the Advocates for the parties, a sum of Kshs 9,000,000/- to be held as security pending agreement by the parties and/or upon such orders as shall be made by the Court. The account was to be opened at the Defendant bank. Upon deposit of the amount as aforesaid, the Defendant would, not later than 3 days, release to the Plaintiff the Certificate of Lease for the property Eldoret Municipality/Block 6/6 among those held by the Defendant. Also to be released was discharge of Charge for the same one property.",court,54.96%,model
"Now before the Court is the Plaintiff’s Application (Notice of Motion) dated 23/08/2022 seeking orders as follows:
Spent.
THAT the Honourable Court be pleased to issue an order to review, vary and/or set aside the Consent Order dated 21st December, 2016 and adopted by the Court on 9th February 2017 to the effect that; 
The Plaintiff/Applicant to deposit in an interest earning account in the joint names of the advocates for the parties that is M/s. Nyairo and Company, Advocates and M/s. Gumbo & Associates, Advocates the sum of Kenya Shillings Nine Million (KShs.9,000,000/=) to be held pending agreement by the parties and/or upon such orders as shall be made by the Court. The said account to be opened at National Bank of Kenya Limited, Eldoret Branch. 
Upon deposit of the amount referred to in paragraph (a) above the Defendant/Respondent forthwith and in any event not later than three (3) days to release to the Plaintiff/Applicant's advocate the following documents; 
 Certificate of Lease over title number Eldoret Municipality/Block 6/6.
 Duly executed discharge of charge in respect of title Eldoret Municipality/Block 
The amount of Kenya Shillings Nine Million (KShs.9,000,000/=) held by the Defendant/Respondent in account number 01282130554700 in the joint names of the advocates for the parties herein, that is M/s. Nyairo and Company, Advocates and M/s. Gumbo and Associates, Advocates be transferred to an independent joint interest earning account to be opened in the joint names of the advocates for the parties herein stated above.
The Defendant/Respondent and/or its Directors be compelled to provide statements of account for the period between 21st December, 2016 to date. 
THAT the Court be pleased to order interest on the said sum of Kenya Shillings nine million (Kshs. 9,000,000/=) for the period between 21st December, 2016 to date.",court,53.66%,model
